datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PE,PE,3405.632,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2583.901,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PL,PLCO,4149.429,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PN,PN,1975.901,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PS,PS,4088.559,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,RECO,RECO,131.726,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PEP,SMECO,314.740,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,PL,UGI,102.933,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,AE,VMEU,69.499,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RTO,RTO,RTO,RTO,82232.403,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,AE,AECO,918.975,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4829.157,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3344.517,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,AEP,AEPKPT,755.393,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,AEP,AEPOPT,6832.386,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,AP,AP,5695.807,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,BC,BC,3256.164,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,CE,CE,11322.607,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,DAY,DAY,2148.000,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,DEOK,DEOK,3267.838,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,SERC,SOUTH,DOM,DOM,10541.611,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,1767.228,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,DUQ,DUQ,1500.854,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,DPL,EASTON,25.637,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,SERC,WEST,EKPC,EKPC,1896.313,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,JC,JC,2266.090,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,ME,ME,1766.340,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,ATSI,OE,7237.824,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,OVEC,OVEC,56.000,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,WEST,ATSI,PAPWR,623.105,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PE,PE,3735.986,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2820.304,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PL,PLCO,4457.159,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PN,PN,2142.716,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PS,PS,4397.605,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,RECO,RECO,147.654,False
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PEP,SMECO,341.941,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,PL,UGI,113.143,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RFC,MIDATL,AE,VMEU,73.288,True
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,RTO,RTO,RTO,RTO,88281.642,False
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,MIDATL,AE,AECO,870.927,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4854.507,True
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3317.682,True
