datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,WEST,ATSI,PAPWR,477.027,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PE,PE,2736.746,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1950.793,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PL,PLCO,3239.725,False
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PN,PN,1565.420,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PS,PS,3496.997,False
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,RECO,RECO,111.085,False
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PEP,SMECO,215.527,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,PL,UGI,75.669,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RFC,MIDATL,AE,VMEU,57.325,True
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,RTO,RTO,RTO,RTO,68318.862,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,AE,AECO,714.839,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3782.424,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2828.161,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,AEP,AEPKPT,636.987,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,AEP,AEPOPT,5526.959,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,AP,AP,4464.633,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,BC,BC,2312.435,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,CE,CE,9408.373,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,DAY,DAY,1696.000,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,DEOK,DEOK,2564.007,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,SERC,SOUTH,DOM,DOM,7835.041,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1281.926,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,DUQ,DUQ,1176.437,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,DPL,EASTON,15.916,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,SERC,WEST,EKPC,EKPC,1504.256,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,JC,JC,1653.176,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,ME,ME,1303.661,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,ATSI,OE,5763.680,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,OVEC,OVEC,47.000,True
