datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
12/13/2019 10:00:00 PM,12/13/2019 5:00:00 PM,OTHER,0.000
12/13/2019 10:00:00 PM,12/13/2019 5:00:00 PM,SOUTH,0.000
12/13/2019 10:00:00 PM,12/13/2019 5:00:00 PM,WEST,0.000
12/13/2019 10:00:00 PM,12/13/2019 5:00:00 PM,RTO,0.000
12/13/2019 10:00:00 PM,12/13/2019 5:00:00 PM,RFC,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,MIDATL,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,OTHER,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,SOUTH,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,WEST,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,RTO,0.000
12/13/2019 9:00:00 PM,12/13/2019 4:00:00 PM,RFC,0.000
