datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,generated_at_ept,area,area_load_forecast,actual_load,dispatch_rate
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7526.00,7519.97,19.56
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11135.00,11464.03,19.47
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2961.00,2985.65,20.41
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1869.00,1873.50,0.00
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Dom,11104.00,11406.01,21.48
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,Duq,1502.00,1555.34,19.46
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1632.00,1676.90,20.37
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,29699.00,30568.77,13.75
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,14.20
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,16.26
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,19.88
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,AEP,14745.00,15053.60,20.76
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,AP,6171.00,6497.35,20.75
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7746.00,7678.61,20.49
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11298.00,11604.14,20.26
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3029.00,3050.46,21.25
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1918.00,1910.61,0.00
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Dom,11413.00,11562.63,22.14
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,Duq,1543.00,1586.92,20.34
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1658.00,1711.57,21.20
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,30625.00,31234.61,15.83
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.06
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.19
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,20.67
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,AEP,14867.00,15170.24,19.89
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,AP,6258.00,6575.74,19.72
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7876.00,7823.20,19.87
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11411.00,11746.71,19.42
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3072.00,3092.18,20.33
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1955.00,1933.33,0.00
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Dom,11591.00,11647.46,20.79
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,Duq,1568.00,1610.22,19.65
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1663.00,1714.08,20.28
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31165.00,31684.76,15.63
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.12
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.14
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,19.75
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,AEP,14976.00,15317.54,20.25
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,AP,6340.00,6588.42,19.92
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7991.00,8009.69,20.27
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11408.00,11765.46,19.74
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3111.00,3116.72,20.64
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1987.00,1958.66,0.00
